id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ENSG00000155629.15	3	0.68923	0.68926	1.0	12426	1	0.061855	0.67758	0.67757	1.0	13006	0	0.061855
ENSG00000261649.7	3	0.68923	0.68926	1.0	12427	1	-0.28391	0.49629	0.51135	1.0	10102	1	-0.28391
ENSG00000104907.13	3	0.68923	0.68926	1.0	12428	1	-0.049757	0.5807	0.58347	1.0	11411	1	-0.049757
ENSG00000135018.14	3	0.68923	0.68926	1.0	12429	1	0.32224	0.35896	0.40943	1.0	8321	1	0.32224
ENSG00000173612.10	3	0.68923	0.68926	1.0	12430	1	0.63681	0.1886	0.29424	0.985876	6055	2	0.63681
ENSG00000106609.16	3	0.68923	0.68926	1.0	12431	1	0.17832	0.51243	0.5245	1.0	10344	1	0.17832
ENSG00000133958.14	6	0.68956	0.77904	1.0	12432	1	0.2678	0.37897	0.53659	1.0	8567	2	0.2678
ENSG00000172243.18	3	0.68965	0.68966	1.0	12433	0	-0.40899	0.81179	0.81177	1.0	15331	0	-0.40899
ENSG00000148834.13	3	0.68965	0.68966	1.0	12434	0	-0.084572	0.69621	0.6963	1.0	13332	0	-0.084572
ENSG00000134490.14	3	0.68965	0.68966	1.0	12435	0	-0.31163	0.88788	0.88799	1.0	16645	0	-0.31163
ENSG00000140948.13	3	0.68965	0.68966	1.0	12436	0	-0.43411	0.074948	0.13576	0.94789	2900	1	-0.43411
ENSG00000113732.9	3	0.68965	0.68966	1.0	12437	0	0.11535	0.36084	0.41075	1.0	8344	1	0.11535
ENSG00000117245.13	3	0.68965	0.68966	1.0	12438	0	-0.37118	0.43424	0.46331	1.0	9292	1	-0.37118
ENSG00000158292.7	3	0.68965	0.68966	1.0	12439	0	-0.44074	0.88156	0.88165	1.0	16539	0	-0.44074
ENSG00000180697.9	3	0.68965	0.68966	1.0	12440	0	0.022697	0.78421	0.78438	1.0	14839	0	0.022697
ENSG00000115041.14	3	0.68965	0.68966	1.0	12441	0	-0.51119	0.76269	0.76298	1.0	14473	0	-0.51119
ENSG00000185917.14	3	0.68965	0.68966	1.0	12442	0	0.49784	0.5875	0.58976	1.0	11512	1	0.49784
